Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",20096969,32767384,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",254991919,277873493,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3974547,101297250,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(ii)Other securities,12638343,178799373,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(i) Debt,466560902,512314858,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(ii) Shares,83732227,232930365,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",9418922,10510965,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(ii) To regulated financial institutions,62256973,70586107,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",9366,4384707,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(iv) To foreign governments,20930424,20984208,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(v) Lease receivables,10348883,20580810,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(vi) To individuals for non-business purposes,108288383,580057295,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
Of (A) Secured by residential property,22785122,234875466,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
which: (B) Secured by other than residential property,49024509,146938159,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(vii) Reverse repurchase agreements,376160336,551214101,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(viii) To individuals and others for business purposes,402367057,656865795,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
Of (A) Secured by residential property,9285119,27225166,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
which: (B) Secured by other than residential property,202683459,372982320,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
(A) Insured,989612,573218531,"Total All Banks, As At August 31, 2016, (in thousands of dollars), Total All Banks, As At August 31, 2016, (in thousands of dollars)"
