Section I - Assets,Foreign Currency,Total Currency,DropdownValue
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,Z005
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",24442635,228571580,Z005
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",369276770,410209239,Z005
2. Securities,2. Securities,2. Securities,Z005
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",Z005
(i) Treasury Bills and other short term paper,6506281,157403950,Z005
(ii)Other securities,21230694,267929050,Z005
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",Z005
(i) Debt,681962964,743676430,Z005
(ii) Shares,113949010,215031107,Z005
3. Loans,3. Loans,3. Loans,Z005
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",Z005
"(i) Call and other short loans to investment dealers and brokers, secured",3793507,4421466,Z005
(ii) To regulated financial institutions,84294749,96057614,Z005
"(iii) To Canadian federal government, provinces, municipal or school corporations",98816,4705394,Z005
(iv) To foreign governments,25793009,25793009,Z005
(v) Lease receivables,14783648,30947096,Z005
(vi) To individuals for non-business purposes,125491503,640158261,Z005
Of (A) Secured by residential property,19964754,270504268,Z005
which: (B) Secured by other than residential property,56973325,166925655,Z005
(vii) Reverse repurchase agreements,599820797,853999988,Z005
(viii) To individuals and others for business purposes,707552720,1105203314,Z005
Of (A) Secured by residential property,7400322,37247430,Z005
which: (B) Secured by other than residential property,330455430,562553675,Z005
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",Z005
(i) Residential,(i) Residential,(i) Residential,Z005
(A) Insured,1320898,476429149,Z005
(B) Of which: NHA MBS pooled and unsold,0,192349555,Z005
(C) Uninsured,123082251,905404415,Z005
(D) Reverse Mortgages,575460,4214702,Z005
(ii) Non-residential,62137718,146653269,Z005
"4. Customers' liability under acceptances, less allowance for expected credit losses",973208,99913025,Z005
"5. Land, buildings, and equipment, less accumulated depreciation",15319842,33830245,Z005
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",Z005
(a) Insurance-related assets,224544,9016255,Z005
(b) Accrued interest,6494595,13424953,Z005
(c) Prepaid and deferred charges,1973544,7231366,Z005
(d) Goodwill,38873293,53019130,Z005
(e) Intangibles,(e) Intangibles,(e) Intangibles,Z005
(i) with definite lives,5773039,16754923,Z005
(ii) with indefinite lives,211906,5089404,Z005
(f) Deferred tax assets,2636774,9177520,Z005
(g) Derivatives related amounts,554741531,396538419,Z005
(h) Due from Head Office and related Canadian regulated Financial Institutions,14200803,28680963,Z005
(i) Interests in associates and joint ventures,16928831,18620822,Z005
(j) Other,66408319,166157337,Z005
Total  Assets,3690873659,7174263395,Z005
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,Z001
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",33977511,140317743,Z001
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",348244521,363868614,Z001
2. Securities,2. Securities,2. Securities,Z001
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",Z001
(i) Treasury Bills and other short term paper,11787827,150032808,Z001
