Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,3,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(b) Deposits with regulated financial institutions, less allowances for impairment",6408,8728,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
2. Securities,2. Securities,2. Securities,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(i) Treasury Bills and other short term paper,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(ii)Other securities,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(i) Debt,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(ii) Shares,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
3. Loans,3. Loans,3. Loans,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(ii) To regulated financial institutions,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(iv) To foreign governments,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(v) Lease receivables,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(vi) To individuals for non-business purposes,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
Of (A) Secured by residential property,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
which: (B) Secured by other than residential property,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(vii) Reverse repurchase agreements,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(viii) To individuals and others for business purposes,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
Of (A) Secured by residential property,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
which: (B) Secured by other than residential property,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(i) Residential,(i) Residential,(i) Residential,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(A) Insured,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(B) Of which: NHA MBS pooled and unsold,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(C) Uninsured,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(D) Reverse Mortgages,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(ii) Non-residential,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"4. Customers' liability under acceptances, less allowances for impairment",0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
"5. Land, buildings, and equipment, less accumulated depreciation",0,74,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
6. Other assets,6. Other assets,6. Other assets,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(a) Insurance-related assets,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(b) Accrued interest,0,5,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(c) Prepaid and deferred charges,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(d) Goodwill,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(i) with definite lives,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(ii) with indefinite lives,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(f) Deferred tax assets,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(g) Derivatives related amounts,587,587,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(i) Interests in associates and joint ventures,0,0,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
(j) Other,0,316,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
Total  Assets,6995,9713,"(in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014"
