Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",13917,1339187,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(i) Treasury Bills and other short term paper,0,246951,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(ii)Other securities,0,49049,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(i) Debt,0,62860,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(ii) Shares,20072,20472,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(ii) To regulated financial institutions,2572,14981,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(vi) To individuals for non-business purposes,0,886080,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
Of (A) Secured by residential property,0,450,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(viii) To individuals and others for business purposes,0,132713,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
which: (B) Secured by other than residential property,0,132713,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(A) Insured,0,2746996,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(B) Of which: NHA MBS pooled and unsold,0,230692,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(C) Uninsured,0,3210864,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(D) Reverse Mortgages,0,416884,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(ii) Non-residential,0,93231,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,3166,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(b) Accrued interest,0,100554,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(c) Prepaid and deferred charges,0,12051,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(d) Goodwill,0,19248,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(i) with definite lives,0,896,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(f) Deferred tax assets,0,9530,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(g) Derivatives related amounts,0,15249,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
(j) Other,0,36210,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
Total  Assets,36561,9417172,"As At June 30, 2024, (in thousands of dollars), Concentra Bank"
