Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",51623,1390781,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(i) Treasury Bills and other short term paper,0,560832,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(ii)Other securities,0,1047578,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(i) Debt,12042,850287,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(ii) Shares,20072,57780,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(ii) To regulated financial institutions,2572,15024,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(v) Lease receivables,0,1210039,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(vi) To individuals for non-business purposes,0,964544,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
Of (A) Secured by residential property,0,84274,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(vii) Reverse repurchase agreements,0,989670,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(viii) To individuals and others for business purposes,6259,1273059,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
Of (A) Secured by residential property,0,592500,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
which: (B) Secured by other than residential property,6259,680559,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(A) Insured,0,17271098,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(B) Of which: NHA MBS pooled and unsold,0,746547,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(C) Uninsured,0,22638392,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(D) Reverse Mortgages,0,1547965,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(ii) Non-residential,0,2257264,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,42202,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(b) Accrued interest,0,421717,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(c) Prepaid and deferred charges,0,29441,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(d) Goodwill,0,56406,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(i) with definite lives,0,152923,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(f) Deferred tax assets,0,11245,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(g) Derivatives related amounts,0,184098,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
(j) Other,47,98630,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
Total  Assets,92615,53070975,"As At June 30, 2024, (in thousands of dollars), Equitable Bank"
