Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,226568,"As At June 30, 2024, (in thousands of dollars), Home Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Home Bank"
(i) Treasury Bills and other short term paper,0,14965,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(ii)Other securities,0,24988,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Home Bank"
(i) Debt,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(ii) Shares,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Home Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(vi) To individuals for non-business purposes,0,584583,"As At June 30, 2024, (in thousands of dollars), Home Bank"
Of (A) Secured by residential property,0,584583,"As At June 30, 2024, (in thousands of dollars), Home Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(viii) To individuals and others for business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Home Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(A) Insured,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(B) Of which: NHA MBS pooled and unsold,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(C) Uninsured,0,6111514,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(ii) Non-residential,0,140651,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,392,"As At June 30, 2024, (in thousands of dollars), Home Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Home Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(b) Accrued interest,0,41482,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(c) Prepaid and deferred charges,0,151,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(d) Goodwill,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(i) with definite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(f) Deferred tax assets,0,4928,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(g) Derivatives related amounts,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Home Bank"
(j) Other,0,43385,"As At June 30, 2024, (in thousands of dollars), Home Bank"
Total  Assets,0,7193607,"As At June 30, 2024, (in thousands of dollars), Home Bank"
