Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,172202,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(i) Treasury Bills and other short term paper,0,10344,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(ii)Other securities,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(i) Debt,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(ii) Shares,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(vi) To individuals for non-business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(viii) To individuals and others for business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(A) Insured,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(B) Of which: NHA MBS pooled and unsold,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(C) Uninsured,0,9320,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(D) Reverse Mortgages,0,6381895,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(ii) Non-residential,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,19787,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(b) Accrued interest,0,1545660,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(c) Prepaid and deferred charges,0,5549,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(d) Goodwill,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(i) with definite lives,0,189,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(ii) with indefinite lives,0,427,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(f) Deferred tax assets,0,9665,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(g) Derivatives related amounts,0,2705,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
(j) Other,0,94251,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
Total  Assets,0,8251994,"As At June 30, 2024, (in thousands of dollars), HomeEquity Bank"
