Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1600,6280,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",12445,234938,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(i) Treasury Bills and other short term paper,0,0,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(ii)Other securities,0,48752,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(i) Debt,0,125182,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(ii) Shares,5724,35527,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(ii) To regulated financial institutions,0,13332,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,31733,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
(v) Lease receivables,0,7309,"As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union"
