Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1710,684271,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",107454,898849,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(i) Treasury Bills and other short term paper,0,1572713,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(ii)Other securities,0,3616954,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(i) Debt,166037,522345,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(ii) Shares,801,73612,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,770,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(v) Lease receivables,56381,879070,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(vi) To individuals for non-business purposes,0,2190183,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
Of (A) Secured by residential property,0,468383,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
which: (B) Secured by other than residential property,0,1331178,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(vii) Reverse repurchase agreements,2764,3985892,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(viii) To individuals and others for business purposes,4615452,6959279,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
Of (A) Secured by residential property,0,516333,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
which: (B) Secured by other than residential property,4594048,6324028,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(A) Insured,0,12406934,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(B) Of which: NHA MBS pooled and unsold,0,112197,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(C) Uninsured,0,7041343,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(ii) Non-residential,0,5934648,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"5. Land, buildings, and equipment, less accumulated depreciation",11044,88774,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(b) Accrued interest,46242,158759,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(c) Prepaid and deferred charges,4436,52451,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(d) Goodwill,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(i) with definite lives,1335,186098,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(f) Deferred tax assets,31202,160825,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(g) Derivatives related amounts,0,209988,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
(j) Other,19513,311026,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
Total  Assets,5064371,47934784,"As At June 30, 2024, (in thousands of dollars), Laurentian Bank of Canada"
