Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,26,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",8,11504,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Motus Bank"
(i) Treasury Bills and other short term paper,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(ii)Other securities,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Motus Bank"
(i) Debt,0,10855,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(ii) Shares,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(vi) To individuals for non-business purposes,0,19637,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
Of (A) Secured by residential property,0,13570,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
which: (B) Secured by other than residential property,0,655,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(viii) To individuals and others for business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Motus Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(A) Insured,0,30256,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(B) Of which: NHA MBS pooled and unsold,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(C) Uninsured,0,118736,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(ii) Non-residential,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Motus Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(b) Accrued interest,0,163,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(c) Prepaid and deferred charges,0,176,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(d) Goodwill,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(i) with definite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(f) Deferred tax assets,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(g) Derivatives related amounts,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
(j) Other,0,180,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
Total  Assets,8,191533,"As At June 30, 2024, (in thousands of dollars), Motus Bank"
