Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",33977511,140317743,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",348244521,363868614,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(i) Treasury Bills and other short term paper,11787827,150032808,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(ii)Other securities,25725388,318472147,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(i) Debt,1016362902,1094942949,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(ii) Shares,328478536,477086505,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(i) Call and other short loans to investment dealers and brokers, secured",2364882,3276347,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(ii) To regulated financial institutions,84025699,93216041,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
"(iii) To Canadian federal government, provinces, municipal or school corporations",64821,5728969,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(iv) To foreign governments,22783532,22783533,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(v) Lease receivables,17234137,36523246,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
(vi) To individuals for non-business purposes,157469953,771598597,"As At June 30, 2024, (in thousands of dollars), Total Domestic Banks"
