Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2942902,30995595,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",55481953,55900690,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1538282,20548080,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(ii)Other securities,3337975,36585315,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(i) Debt,223943894,247514469,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(ii) Shares,54232832,79579091,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1049081,1106650,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(ii) To regulated financial institutions,70676605,75104880,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",746,953662,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(iv) To foreign governments,1198855,1198856,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(v) Lease receivables,2590664,4216599,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(vi) To individuals for non-business purposes,24243055,104567364,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
Of (A) Secured by residential property,6300492,55980488,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
which: (B) Secured by other than residential property,14602931,21738946,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(vii) Reverse repurchase agreements,74411566,121260877,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(viii) To individuals and others for business purposes,141324546,261240168,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
Of (A) Secured by residential property,1376385,11995036,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
which: (B) Secured by other than residential property,103719125,193496693,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(A) Insured,0,42790804,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,23134851,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(C) Uninsured,29847538,141200081,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(ii) Non-residential,28346607,35964545,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",262283,1024768,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3339479,6219710,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(a) Insurance-related assets,0,4756474,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(b) Accrued interest,2992628,4265798,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(c) Prepaid and deferred charges,440935,1897230,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(d) Goodwill,16080239,16515628,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(i) with definite lives,3131782,5079074,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(ii) with indefinite lives,2580,51980,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(f) Deferred tax assets,1371183,3493578,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(g) Derivatives related amounts,78981540,33509831,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(i) Interests in associates and joint ventures,780143,1627313,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
(j) Other,30977298,43734100,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
Total  Assets,853527191,1382903210,"As At June 30, 2024, Bank of Montreal, (in thousands of dollars)"
