Section I - Assets,Foreign Currency,Total Currency,P_Tags
Gold coin and gold and silver bullion,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other coin,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Bank Notes,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Deposits with Bank of Canada,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Deposits with regulated financial institutions, less allowance for impairment",0,153,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Cheques and other items in transit (net),0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Treasury Bills,0,3520,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other securities maturing within 3 years,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other securities,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Securities maturing within 3 years,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other securities,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Shares,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Securities issued or guaranteed by a Canadian province,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment","As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Debt,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Shares,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Call and other short loans to investment dealers and brokers, secured",0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
To regulated financial institutions,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"To Canadian federal government, provinces, municipal or school corporations",0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
To foreign governments,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Lease receivables,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
To individuals for non-business purposes,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Reverse repurchase agreements,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
To individuals and others for business purposes,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Residential,Residential,Residential,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Insured,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Uninsured,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Non-residential,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Customers' liability under acceptances, less allowances for impairment",0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
"Land, buildings, and equipment, less accumulated depreciation",0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Insurance-related assets,Insurance-related assets,Insurance-related assets,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Policy loans,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Premiums outstanding,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Due from other insurers,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other assets,Other assets,Other assets,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Accrued interest,0,18,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Prepaid and deferred charges,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Goodwill and other intangibles,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Deferred tax debits,0,0,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Other,0,34,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
Total assets,0,3725,"As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996)"
