Section I - Assets,Foreign Currency,Total Currency,P_Tags
Gold coin and gold and silver bullion,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Bank notes and other coin,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Not in use,Not in use,Not in use,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Deposits with Bank of Canada,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Deposits with regulated financial institutions, less allowance for impairment",264,45529,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Cheques and other items in transit,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Treasury Bills,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Other securities maturing within 3 years,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Other securities,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Securities maturing within 3 years,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Other securities,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Shares,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Securities issued or guaranteed by a Canadian province,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment","As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Debt,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Shares,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Call and other short loans to investment dealers and brokers, secured",0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
To regulated financial institutions,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"To Canadian federal government, provinces, municipal or school corporations",0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
To foreign governments,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Lease receivables,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
To individuals for non-business purposes,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Reverse repurchase agreements,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
To individuals and others for business purposes,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Residential,Residential,Residential,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Insured,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Uninsured,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Non-residential,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Customers' liability under acceptances, less allowances for impairment",0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
"Land, buildings, and equipment, less accumulated depreciation",0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Insurance-related assets,Insurance-related assets,Insurance-related assets,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Policy loans,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Premiums outstanding,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Due from other insurers,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Other,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Other assets,Other assets,Other assets,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Accrued interest,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Prepaid and deferred charges,0,276,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Goodwill,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Intangibles,Intangibles,Intangibles,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
with definite lives,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
with indefinite lives,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Future income taxes,0,274,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
Derivatives related amounts,0,0,"As At September 30, 2007(in thousands of dollars), National Bank of Greece (Canada) (Inactive Oct 27, 2007)"
