Section I - Assets,Foreign Currency,Total Currency,P_Tags
Gold coin and gold and silver bullion,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Other coin,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Bank Notes,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Deposits with Bank of Canada,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
"Deposits with regulated financial institutions, less allowance for impairment",0,153,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Cheques and other items in transit (net),0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Treasury Bills,0,3520,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Other securities maturing within 3 years,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Other securities,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Securities maturing within 3 years,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Other securities,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Shares,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Securities issued or guaranteed by a Canadian province,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment","B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Debt,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
Shares,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
"Call and other short loans to investment dealers and brokers, secured",0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
To regulated financial institutions,0,0,"B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars), B.C. Bancorp (Inactive Jan 12, 1996), As At October 31, 1996, (in thousands of dollars)"
