0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-1701994,4247749,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",40007257,40330552,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1733291,17973112,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(ii)Other securities,2347289,23735044,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(i) Debt,76446079,95252754,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(ii) Shares,25939099,53482744,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2765965,2794595,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,37444434,38606517,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,372187,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,655899,655899,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(v) Lease receivables,2864955,3652160,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,11790379,72164791,"Bank of Montreal, As At April 30, 2019, (in thousands of dollars), Bank of Montreal, As At April 30, 2019, (in thousands of dollars)"
