0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-5985495,35402994,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",77028621,77462497,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2706208,18595537,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
(ii)Other securities,2098527,25665458,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
(i) Debt,108709626,126770980,"Bank of Montreal, As At August 31, 2021, (in thousands of dollars), Bank of Montreal, As At August 31, 2021, (in thousands of dollars)"
