0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4584032,40184721,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",58144913,58480139,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1562630,19749959,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(ii)Other securities,1324581,36089654,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(i) Debt,199844347,223044592,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(ii) Shares,51882067,79175217,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1206080,1351675,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,69143597,72533058,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",661,1081280,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,1216953,1216953,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(v) Lease receivables,2693481,4355425,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,23889561,103879823,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,6115613,55214182,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,14194276,22454825,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,67255324,112234843,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,133666602,244532861,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,1149589,10463218,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,104350029,184933298,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(A) Insured,0,44940825,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,21910232,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(C) Uninsured,25848113,132769488,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(ii) Non-residential,27446277,31599680,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",76178,7495912,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3274810,6118037,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,4691502,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(b) Accrued interest,2757799,3881057,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,208584,1030420,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(d) Goodwill,15518700,15955058,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(i) with definite lives,3214378,5121086,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(ii) with indefinite lives,2490,51890,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(f) Deferred tax assets,1396134,3078257,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(g) Derivatives related amounts,-173539980,36102383,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
(i) Interests in associates and joint ventures,778903,1496619,"Bank of Montreal, As At December 31, 2023, (in thousands of dollars), Bank of Montreal, As At December 31, 2023, (in thousands of dollars)"
