0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-3017912,40043740,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",51479141,51887055,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1622449,20823599,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(ii)Other securities,1872202,31063645,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(i) Debt,104952677,124849831,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(ii) Shares,31936739,55824324,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2199352,2225449,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,50574883,52387027,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,485295,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(iv) To foreign governments,1127691,1127691,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(v) Lease receivables,2162516,3403588,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,13131626,77426865,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,3013721,40336018,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,7209026,16952437,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,67791492,110800810,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,89691935,168448705,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,438817,5742324,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,63088604,118670986,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of Montreal, As At February 28, 2021, (in thousands of dollars), Bank of Montreal, As At February 28, 2021, (in thousands of dollars)"
