0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",716108,28265169,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",56834445,57069155,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1686618,22996976,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii)Other securities,1554883,35512440,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) Debt,202169775,225298159,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii) Shares,36648188,62893541,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1360395,1886131,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,69109472,72365279,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",670,1134704,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,1229462,1229462,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(v) Lease receivables,2695276,4341348,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,23988979,103361117,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,6148275,55094916,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,14408587,22453802,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,67181220,115599559,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,135743776,246805489,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,1301777,10704722,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,105452283,186621377,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(A) Insured,0,42738149,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,21854054,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(C) Uninsured,26420682,133555279,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii) Non-residential,28051201,34661712,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",87747,7097204,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3306830,6204503,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,4629064,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(b) Accrued interest,2814723,4067898,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,343726,1325002,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(d) Goodwill,15746018,16181983,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) with definite lives,3221912,5125911,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,2526,51926,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,1330147,3042004,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,-44105676,28746266,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,787017,1506682,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(j) Other,39516178,57069622,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
Total  Assets,678442298,1324761734,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,1122480,2851434,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(b) Municipal or School Corporations,4104,2772153,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(c) Deposit-taking institutions,4637902,7617203,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) Tax sheltered,709508,7357362,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii) Other,81978461,164847214,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(e) Other,166310906,280115760,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,0,839222,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(c) Deposit-taking institutions,22439019,23069579,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(i) Tax-sheltered,0,20415087,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(ii) Other,50145603,119598797,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
(e) Others,212681022,284654427,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
3. Cheques and other items in transit,0,0,"Bank of Montreal, As At January 31, 2024, (in thousands of dollars), Bank of Montreal, As At January 31, 2024, (in thousands of dollars)"
