0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",392068,28601426,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",60824991,61068693,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1668641,30293842,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(ii)Other securities,2389969,33549071,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(i) Debt,102383096,120757169,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(ii) Shares,17924685,42375073,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1351707,1399800,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,41016238,42689312,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",46,597631,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,1052684,1052684,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(v) Lease receivables,2487676,3668728,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,13611688,76122097,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,3498705,38705036,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,7246990,16693158,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,68121817,118713334,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,105280418,177833061,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,624129,5572820,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,72302597,125800086,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(A) Insured,0,45945800,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,21988111,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(C) Uninsured,9823748,79395617,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
(ii) Non-residential,11164158,16723306,"Bank of Montreal, As At July 31, 2020, (in thousands of dollars), Bank of Montreal, As At July 31, 2020, (in thousands of dollars)"
