Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",5519490,29368996,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",57694768,57921962,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2046607,23119036,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,2976427,41183122,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,225702988,248658826,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,46493598,72999720,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1095017,1148515,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,70016315,75165354,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",37,967299,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,1217659,1217659,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,2601387,4223012,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,24417111,104766081,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,6358890,56165691,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,14722514,21776149,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,72254102,118004987,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,142016816,262431685,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
