0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2942902,30995595,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",55481953,55900690,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1538282,20548080,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(ii)Other securities,3337975,36585315,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(i) Debt,223943894,247514469,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(ii) Shares,54232832,79579091,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1049081,1106650,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,70676605,75104880,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",746,953662,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(iv) To foreign governments,1198855,1198856,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(v) Lease receivables,2590664,4216599,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,24243055,104567364,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,6300492,55980488,"Bank of Montreal, As At June 30, 2024, (in thousands of dollars), Bank of Montreal, As At June 30, 2024, (in thousands of dollars)"
