0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-3975345,35022313,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",56596486,56979795,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2323813,17618847,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(ii)Other securities,1627946,20342940,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(i) Debt,143026618,160418418,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(ii) Shares,29491455,53218948,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1211715,1285977,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,53771371,56800940,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",110,745262,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,1104677,1104677,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(v) Lease receivables,2018222,3478456,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,14505582,88048166,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,2777191,47844472,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,8562283,18746776,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,58395318,109095370,"Bank of Montreal, As At March 31, 2022, (in thousands of dollars), Bank of Montreal, As At March 31, 2022, (in thousands of dollars)"
