0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3952902,33065622,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",66910345,67491787,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2167127,18330130,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(ii)Other securities,1396808,31429756,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(i) Debt,188220231,208594901,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(ii) Shares,27414265,54775468,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1235963,1313709,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,60423325,63689820,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",31,953797,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,1160380,1160380,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(v) Lease receivables,3076376,4770552,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,35617477,114937875,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,6322512,54942340,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,25102939,34792684,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,73384191,119535157,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,135335236,240348630,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,1764681,9979237,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,101218962,178939879,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(A) Insured,0,43611204,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,19988549,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(C) Uninsured,23541509,124519040,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(ii) Non-residential,33697231,38012534,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",-32266,10095399,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3332401,6115982,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,3226617,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(b) Accrued interest,2514947,3718580,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,244742,1045885,"Bank of Montreal, As At May 31, 2023, (in thousands of dollars), Bank of Montreal, As At May 31, 2023, (in thousands of dollars)"
