0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3426281,25849017,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",51406583,51952882,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1818089,22457413,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(ii)Other securities,1389457,35618866,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(i) Debt,203930092,226947417,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(ii) Shares,39321929,68176315,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1207151,1385305,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,70317746,73985022,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",684,1137468,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(iv) To foreign governments,1258979,1258979,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(v) Lease receivables,2808714,4480727,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,34434175,114495296,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,6279357,55325163,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,24247682,32724343,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,68490169,116488712,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,136991575,246242162,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,1159785,10253618,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,107314295,186759545,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(A) Insured,0,44697921,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,20853651,"Bank of Montreal, As At November 30, 2023, (in thousands of dollars), Bank of Montreal, As At November 30, 2023, (in thousands of dollars)"
