0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2744504,28712693,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",57703466,58047142,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1745276,22307120,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(ii)Other securities,1246025,31454160,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(i) Debt,192032022,213514898,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(ii) Shares,28451339,53642150,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1175660,1292403,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,68716337,72181199,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",694,1220205,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,1322024,1322024,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(v) Lease receivables,2867840,4551602,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,35463243,115152500,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,6416339,55416662,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,24605222,33191576,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,71247932,115662568,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,140798861,250554762,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,1136869,10338616,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,109605405,188484362,"Bank of Montreal, As At October 31, 2023, (in thousands of dollars), Bank of Montreal, As At October 31, 2023, (in thousands of dollars)"
