0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2147,54751,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",46510,81483,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,211362,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii)Other securities,0,423280,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) Debt,0,235004,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii) Shares,0,115761,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,91,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,0,10371,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,19032,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(v) Lease receivables,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,636796,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,104724,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,309861,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,87,371019,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,87,364010,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(A) Insured,0,749518,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,114235,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(C) Uninsured,0,1213709,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii) Non-residential,0,417540,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,29600,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(a) Insurance-related assets,0,7767,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(b) Accrued interest,0,36025,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,9251,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(d) Goodwill,0,147,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) with definite lives,0,10005,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(f) Deferred tax assets,0,16425,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,0,42998,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(j) Other,0,7091,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
Total  Assets,48744,4699026,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,0,2096,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,0,68869,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,1,11135,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) Tax sheltered,0,243278,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii) Other,11290,1151537,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(e) Other,38317,714961,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,0,157,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,0,29337,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,0,8630,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(i) Tax-sheltered,0,983189,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(ii) Other,652,291021,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
(e) Others,0,259847,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
3. Cheques and other items in transit,0,132,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At May 31, 2020, (in thousands of dollars)"
