0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3056226,37534485,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",13964105,20459326,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,515167,10358338,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(ii)Other securities,3012275,44333644,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(i) Debt,48329766,52322806,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(ii) Shares,11632848,26790971,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,1427363,2679245,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",4769,266037,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(iv) To foreign governments,426930,426930,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(v) Lease receivables,9576,9576,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2073653,52141160,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,103312,20402928,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,703284,6790368,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,45591106,71705968,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,83116275,136670740,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,2984612,5140479,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,20128149,28126937,"Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At April 30, 2020, (in thousands of dollars)"
