0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4365698,29864331,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",32040311,34352955,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1456658,13335316,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(ii)Other securities,4692453,46437059,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(i) Debt,55780642,61059126,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(ii) Shares,18981718,38913184,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,2327264,2907412,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2738,552956,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,364507,364507,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(v) Lease receivables,7459,7459,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2181665,51183961,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,61443,18625466,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,678115,8066937,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,52641207,78268015,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,79221243,134466639,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,3083724,5417554,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,18623066,28836223,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(A) Insured,0,62331060,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,24553282,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(C) Uninsured,4693009,185022960,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(ii) Non-residential,297078,6551160,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",19448,10522832,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",593708,3117397,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,81550,112829,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(b) Accrued interest,401373,1158186,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,97991,575890,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(d) Goodwill,3975632,5030369,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(i) with definite lives,294809,1836681,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(ii) with indefinite lives,24718,140718,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(f) Deferred tax assets,189116,454703,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,21406328,35283672,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,45556,667979,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(j) Other,14250425,21987762,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
Total  Assets,300434304,826507118,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,2190666,10674193,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,32333,8984057,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,1737287,11915412,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(i) Tax sheltered,1578378,22277568,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(ii) Other,20273550,137893343,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
(e) Other,65797180,159939676,"Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At August 31, 2021, (in thousands of dollars)"
