0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",5922825,67117867,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",20799180,24446208,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,748325,10933300,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(ii)Other securities,3642514,47446696,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(i) Debt,52244078,57364155,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(ii) Shares,22389200,40382661,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,1502400,1895081,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",11378,826746,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,130336,130336,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(v) Lease receivables,9211,9211,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2270504,51784081,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,73813,19146341,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,926268,8035509,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,49548579,76460969,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,71825954,122574538,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,3123468,5312892,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,18476998,27092325,"Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2020, (in thousands of dollars)"
