0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4558325,24098156,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",31762943,35269566,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1933040,16900817,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(ii)Other securities,5072416,47399022,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(i) Debt,66192764,71465037,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(ii) Shares,19995049,41609049,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,2716350,3526722,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2479,879630,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(iv) To foreign governments,716232,716232,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(v) Lease receivables,6884,6884,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2308781,52981102,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,52304,18971816,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,788869,9251689,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,51830355,78413202,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,93314167,155525147,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,3501506,5832721,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,21429573,33546879,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(A) Insured,0,58114671,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,24014417,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(C) Uninsured,4786514,200197998,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 28, 2022, (in thousands of dollars)"
