0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2504642,4087183,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",18550897,24415624,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,487815,14902098,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(ii)Other securities,3052134,39147265,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(i) Debt,45640660,49732489,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(ii) Shares,13672618,30379534,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,1131701,1588612,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3770,317950,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(iv) To foreign governments,422714,422714,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(v) Lease receivables,9706,9706,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2185270,54773509,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,99101,20575366,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,701886,7024176,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,46776481,68166749,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,70827433,120763525,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,2712808,4850828,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,18951536,27149364,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(A) Insured,0,65623973,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,32249241,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(C) Uninsured,4347053,144734506,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(ii) Non-residential,536668,6522492,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",133504,9387764,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",732973,3081332,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(a) Insurance-related assets,83866,114333,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(b) Accrued interest,534301,1375509,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,103751,520333,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(d) Goodwill,4478542,5533278,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(i) with definite lives,424558,1801870,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(ii) with indefinite lives,26297,142297,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(f) Deferred tax assets,95144,580576,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,19203921,32168864,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,39307,594816,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(j) Other,10645378,16288434,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
Total  Assets,246651104,697177335,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(a) Federal and Provincial,1256990,7224174,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,39959,6559012,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,412298,5730918,"Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At February 29, 2020, (in thousands of dollars)"
