0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1272642,9299708,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",36398972,39991812,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2073822,15900542,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(ii)Other securities,5149647,63676790,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(i) Debt,88715105,94133592,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(ii) Shares,30736670,54525841,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,2473691,2975301,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",7125,987995,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,718849,718849,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(v) Lease receivables,2311,2311,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2185575,62300825,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,56513,19079808,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,604997,10464006,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,68133577,92458457,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,109751731,183470462,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,5040936,7260928,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,19577447,34478705,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(A) Insured,0,47757720,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,21964517,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(C) Uninsured,5473781,226216361,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
(ii) Non-residential,215318,5009505,"Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At January 31, 2024, (in thousands of dollars)"
