0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4531262,12971357,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",37067648,38524407,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2562850,20918906,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,5971302,64832713,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,100002859,104643469,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,33682870,63526423,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,2495561,2774227,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",7275,1656944,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,187570,187570,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,180387,180387,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2331081,64779637,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,52766,19470632,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,721019,10785743,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,66163941,95816243,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,114835383,198506783,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,5512890,7622526,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,19631047,34882157,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,46370094,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,20939186,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,5708703,230373009,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,217545,5158026,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",9086,161781,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",748318,3260740,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,32907,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,1597101,3987204,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,136665,606908,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,4351319,5406055,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,255838,2611664,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,116000,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,360683,620438,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,19769711,30310758,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,77798,720631,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(j) Other,13434648,22351220,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,416687404,1021406501,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,1900325,13240418,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(b) Municipal or School Corporations,34519,11586168,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(c) Deposit-taking institutions,1845632,17662195,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Tax sheltered,1374414,16947657,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) Other,18869361,125974833,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(e) Other,82317332,178070433,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,0,243687,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(b) Municipal or School Corporations,243839,933188,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(c) Deposit-taking institutions,11173309,12065425,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Tax-sheltered,134308,25973028,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) Other,9513619,81335074,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(e) Others,192977782,240648285,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
3. Cheques and other items in transit,2673009,742022,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
5. Acceptances,9086,172778,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(i) Call and other short loans payable,0,0,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(ii) Other,0,0,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(b) Insurance-related liabilities,4,56447,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
(c) Accrued interest,1977243,5162324,"Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At July 31, 2024, (in thousands of dollars)"
