0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1964954,3835528,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",17291088,22184963,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,571005,9248307,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
(ii)Other securities,2481370,39422469,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
(i) Debt,38908256,43195260,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
(ii) Shares,11349093,28304334,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At June 30, 2019, (in thousands of dollars)"
