0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4803232,21976602,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",32770344,35415625,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2021305,15882066,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
(ii)Other securities,4877174,50060045,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
(i) Debt,67019518,72376808,"Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At March 31, 2022, (in thousands of dollars)"
