0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4543364,41379932,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",25209762,28432550,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,670380,12160510,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(ii)Other securities,3617229,47053647,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(i) Debt,48998227,52896039,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(ii) Shares,11713929,27319744,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,1233713,1636076,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3722,583819,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,421665,421665,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(v) Lease receivables,9180,9180,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2063880,51589949,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,96455,20050521,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,717319,6846387,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,42991848,69286581,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,80710303,132682757,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,3028449,5146915,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,19946248,27758845,"Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At May 31, 2020, (in thousands of dollars)"
