0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2215961,3764318,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",8671486,15409785,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,568102,4617120,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
(ii)Other securities,2525324,43526034,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
(i) Debt,42260786,46021631,"Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At October 31, 2019, (in thousands of dollars)"
