0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,25553,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",26696,88792,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,66460,3302326,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(ii)Other securities,123578,663379,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(i) Debt,122330,122330,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(ii) Shares,3654,11266,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,51428,784191,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(v) Lease receivables,1108,3383947,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,562974,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,421044,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,141930,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,60993,60993,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,638544,9496255,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,204367,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,638544,9291888,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(A) Insured,0,1703443,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(C) Uninsured,0,7701123,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
(ii) Non-residential,0,12612890,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,149886,"Canadian Western Bank, As At December 31, 2022, (in thousands of dollars), Canadian Western Bank, As At December 31, 2022, (in thousands of dollars)"
