Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1073,16452,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",57976,136413,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,229078,2733813,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,16193,1020579,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,292201,329807,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,7826,16902,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,42665,726288,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,674,3396121,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,481658,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,354377,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,127281,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,863780,10805427,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,121510,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,863780,10683917,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,1411006,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,83019,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,0,7878828,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,12513340,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,148599,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,4760,159656,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,27506,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
