0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1059,24715,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",45619,191094,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,146081,3117542,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii)Other securities,98261,591248,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Debt,185115,185115,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) Shares,5015,14901,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,57946,783242,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(v) Lease receivables,870,3382348,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,508897,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,377701,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,131196,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,89693,134662,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,928314,10498427,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,215875,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,928314,10282552,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(A) Insured,0,1561943,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,41003,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(C) Uninsured,0,7854787,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) Non-residential,0,12447644,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,152355,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(b) Accrued interest,6237,146038,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,19289,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(d) Goodwill,0,138701,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) with definite lives,0,236409,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) with indefinite lives,0,4786,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(f) Deferred tax assets,0,41492,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(g) Derivatives related amounts,2040,109290,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(j) Other,2094,175178,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
Total  Assets,1568344,42320103,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Tax sheltered,0,4376691,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) Other,84171,2270489,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(e) Other,582716,7119950,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Tax-sheltered,0,1933475,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) Other,38708,11193242,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(e) Others,16644,6434601,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
3. Cheques and other items in transit,2689,37831,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
5. Acceptances,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Call and other short loans payable,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) Other,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(b) Insurance-related liabilities,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(c) Accrued interest,773,344465,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(d) Mortgages and loans payable,0,3315721,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Current,0,15679,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(ii) Deferred,0,5261,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(f) Obligations related to borrowed securities,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(h) Deferred income,28,2599,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(i) Derivative related amounts,0,198596,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(k) Other,804618,521398,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
7. Subordinated debt,0,523438,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(a) Preferred shares,0,575000,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(b) Common shares,0,1007983,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(c) Contributed surplus,0,28918,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(d) Retained earnings,,2515719,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(e) Non-controlling interests,0,0,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,-100953,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
Total liabilities and shareholders' equity,1530347,42320103,"Canadian Western Bank, As At October 31, 2023, (in thousands of dollars), Canadian Western Bank, As At October 31, 2023, (in thousands of dollars)"
