0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-1227,221133,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,0,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,45551,1787855,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
(ii)Other securities,0,1060900,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
(i) Debt,163761,325988,"Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At August 31, 2022, (in thousands of dollars)"
