0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1456,188546,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,0,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,54044,583582,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(ii)Other securities,13108,1411257,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(i) Debt,108485,567493,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(ii) Shares,0,3558,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(v) Lease receivables,8253,1052870,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,1,1071655,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,920468,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,1,151187,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,236617,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,47610,955994,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,9600,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,47610,946394,"Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At December 31, 2020, (in thousands of dollars)"
