0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",37647,1623651,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,415692,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii)Other securities,0,1644577,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) Debt,5332,441035,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii) Shares,13746,120421,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,407,41557,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,6834,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(v) Lease receivables,7991,1206295,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,905152,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,81165,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,14917,1122128,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,547758,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,14917,574370,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(A) Insured,0,17483597,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,1815004,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(C) Uninsured,0,22112702,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,965006,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii) Non-residential,0,2988571,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,33835,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(b) Accrued interest,0,253299,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,19262,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(d) Goodwill,0,57595,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) with definite lives,0,149894,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(f) Deferred tax assets,0,11783,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(g) Derivatives related amounts,0,272532,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(j) Other,0,190067,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
Total  Assets,80040,52065485,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,881,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(c) Deposit-taking institutions,11894,760893,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) Tax sheltered,0,783949,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii) Other,237362,4324510,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(e) Other,8760,313862,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(c) Deposit-taking institutions,29553,2313820,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(i) Tax-sheltered,0,1367917,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(ii) Other,71595,18128453,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
(e) Others,1282162,3369242,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
3. Cheques and other items in transit,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
5. Acceptances,0,0,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Equitable Bank, As At April 30, 2023, (in thousands of dollars), Equitable Bank, As At April 30, 2023, (in thousands of dollars)"
