0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",10194,1100151,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,122233,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
(ii)Other securities,0,208024,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
(i) Debt,0,320105,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
(ii) Shares,0,117591,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Equitable Bank, As At January 31, 2021, (in thousands of dollars), Equitable Bank, As At January 31, 2021, (in thousands of dollars)"
