0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",202,3679,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",1774,225752,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
(ii)Other securities,0,0,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
(i) Debt,0,0,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
(ii) Shares,0,0,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,113493,"First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars), First Nations Bank of Canada, As At December 31, 2019, (in thousands of dollars)"
