0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",547,8622,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",5773,362148,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(ii)Other securities,0,45380,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(i) Debt,4824,119938,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(ii) Shares,5677,35455,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,0,12615,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,31845,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(v) Lease receivables,0,8102,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,227792,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,9544,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,148676,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,-1,61764,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,146,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,-1,58528,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
(A) Insured,0,467371,"Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At February 29, 2024, (in thousands of dollars)"
