0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",706,4769,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",5439,312140,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(ii)Other securities,0,11094,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(i) Debt,16199,110318,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(ii) Shares,1523,30152,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,0,12399,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,33758,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(v) Lease receivables,0,8851,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,212342,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,10247,"Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2023, (in thousands of dollars)"
