Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1831,7160,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",10123,226765,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,0,47614,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,0,125434,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,5771,35502,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,0,13131,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,32350,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,0,7047,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,26,234578,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,9800,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,153320,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,830,138989,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,112,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,830,135481,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,483129,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,228232,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,0,1450758,"Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At July 31, 2024, (in thousands of dollars)"
