Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,3,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",6408,8728,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
(ii)Other securities,0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
(i) Debt,0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
(ii) Shares,0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars), Jameson Bank (Inactive Jun 17, 2014), As At May 31, 2014, (in thousands of dollars)"
