0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4552,350015,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",68681,572787,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2810,2049440,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii)Other securities,1579,3086238,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) Debt,45743,196504,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii) Shares,5655,387156,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,330,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(v) Lease receivables,43044,697092,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,16,4760925,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,752163,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,2918497,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,5369,3132096,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,2488966,6021967,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,1058658,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,2466334,4744824,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(A) Insured,0,8709592,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,600749,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(C) Uninsured,0,8841050,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii) Non-residential,0,4501803,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,235047,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",9380,89714,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(b) Accrued interest,13868,107111,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(c) Prepaid and deferred charges,1027,32114,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(d) Goodwill,56538,117248,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) with definite lives,58842,387320,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(f) Deferred tax assets,4148,35050,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(g) Derivatives related amounts,112,188157,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(j) Other,578,320806,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
Total  Assets,2810908,44819562,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) Tax sheltered,0,172906,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii) Other,34296,3948075,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(e) Other,48543,1690176,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(i) Tax-sheltered,0,3113609,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(ii) Other,56,12917730,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
(e) Others,95827,4802514,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
3. Cheques and other items in transit,8615,82286,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,1159,"Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars), Laurentian Bank of Canada, As At August 31, 2019, (in thousands of dollars)"
