0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1796,457554,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",151705,413746,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,1878896,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(ii)Other securities,60,4235031,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(i) Debt,237896,400831,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(ii) Shares,4963,337025,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,825,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(v) Lease receivables,60649,718481,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,3835436,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,540944,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,2717178,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,1244,3559811,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,2080044,4994598,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,746095,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,2055327,4099036,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(A) Insured,0,10812654,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,210203,"Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At May 31, 2021, (in thousands of dollars)"
