0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,10083,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",179024,3258723,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,9914,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
(ii)Other securities,0,0,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
(i) Debt,242552,242552,"Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars), Manulife Bank of Canada, As At April 30, 2024, (in thousands of dollars)"
