0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,11891,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",344278,3857075,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(ii)Other securities,0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(i) Debt,225113,225113,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(ii) Shares,0,145720,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
(v) Lease receivables,0,0,"Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars), Manulife Bank of Canada, As At August 31, 2021, (in thousands of dollars)"
