0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,33022,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",313732,4142133,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,9991,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii)Other securities,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Debt,259463,259463,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) Shares,0,107960,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(v) Lease receivables,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,18393606,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,16909723,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,1370814,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,411089,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,89,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,410575,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(A) Insured,0,2839463,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,1282703,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(C) Uninsured,0,490068,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) Non-residential,0,298537,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,159,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(b) Accrued interest,755,9371,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,18592,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(d) Goodwill,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) with definite lives,0,13225,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(f) Deferred tax assets,0,88961,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,0,1093,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(j) Other,338,57481,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
Total  Assets,574288,27174214,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,1,87,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Tax sheltered,0,1041977,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) Other,546711,9815975,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(e) Other,22019,3043496,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Tax-sheltered,0,451851,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) Other,0,3634171,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(e) Others,0,3485724,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
3. Cheques and other items in transit,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
5. Acceptances,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(i) Call and other short loans payable,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(ii) Other,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(b) Insurance-related liabilities,0,0,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(c) Accrued interest,0,74298,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(d) Mortgages and loans payable,0,3781475,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars), Manulife Bank of Canada, As At March 31, 2020, (in thousands of dollars)"
