0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,35521,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",323989,4688116,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,9964,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(ii)Other securities,0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(i) Debt,217096,217096,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(ii) Shares,0,133835,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(v) Lease receivables,0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,18205962,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,16746277,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,1372093,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,389769,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,1189,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,388158,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(A) Insured,0,2773007,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,1233639,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
(C) Uninsured,0,510896,"Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars), Manulife Bank of Canada, As At November 30, 2019, (in thousands of dollars)"
