0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",339509,625179,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",9726092,9873234,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,167715,10705436,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(ii)Other securities,936879,21299302,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(i) Debt,4577936,8961758,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(ii) Shares,16813261,37654470,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,1300986,2690805,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1565305,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(v) Lease receivables,0,0,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2396869,38693670,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,22505592,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,946961,8446376,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,12025022,17192586,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,11918367,43100157,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,316,410873,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,6572765,29533258,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(A) Insured,0,29532034,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,6480835,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(C) Uninsured,3348043,24411135,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,661809,661809,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(ii) Non-residential,5519,1267615,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",36399,6818937,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",50147,608717,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
(a) Insurance-related assets,0,32219,"National Bank of Canada, As At April 30, 2019, (in thousands of dollars), National Bank of Canada, As At April 30, 2019, (in thousands of dollars)"
