0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1041781,15527556,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",20824444,21950176,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,47159,15126959,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
(ii)Other securities,875608,28506271,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
(i) Debt,9244782,15922636,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
(ii) Shares,57652086,84439667,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At August 31, 2023, (in thousands of dollars), National Bank of Canada, As At August 31, 2023, (in thousands of dollars)"
