0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",899821,1130394,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",12935929,13375186,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,390993,8892932,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(ii)Other securities,1066347,20854604,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(i) Debt,9628342,13456802,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(ii) Shares,32176592,53740332,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,621970,1895189,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1541126,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(v) Lease receivables,0,0,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,2163375,38932163,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,0,23294880,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,1151548,8610094,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,5670862,9341032,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,15205878,49256234,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,6813,405068,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,9450290,34406213,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(A) Insured,0,30136000,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,6112351,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(C) Uninsured,4749194,28284467,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,583070,583070,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(ii) Non-residential,3406,1132951,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",56965,6648707,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",141469,1155239,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
(a) Insurance-related assets,0,29872,"National Bank of Canada, As At February 29, 2020, (in thousands of dollars), National Bank of Canada, As At February 29, 2020, (in thousands of dollars)"
