0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",756449,19813455,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",19508560,20249457,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9975,8306108,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
(ii)Other securities,843706,21705012,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
(i) Debt,7079962,11772162,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
(ii) Shares,36385817,56959060,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,1355,"National Bank of Canada, As At January 31, 2022, (in thousands of dollars), National Bank of Canada, As At January 31, 2022, (in thousands of dollars)"
