Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1273254,13643919,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",18165387,18845397,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,41120,15670952,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,1134002,28559941,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,9132678,14367756,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,61641452,85676382,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,7126,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,9478,932185,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,942171,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,0,0,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,3421365,49154735,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,2538,29606165,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,2968531,13348873,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,11252667,13879191,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,32189680,94581084,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,29997,1193957,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,25083744,77510362,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,42495776,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,13999540,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,9283240,49986486,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,299509,299509,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,1014372,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",3068,135072,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",252748,1830307,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,55798,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,605877,1774748,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,96673,402824,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,171973,1520692,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,31835,1063612,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,163803,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,39779,665366,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,7668512,10468405,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,31841,38430,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(j) Other,1157699,5757398,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,157903837,453933437,"National Bank of Canada, As At July 31, 2024, (in thousands of dollars), National Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
