0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1051052,17737639,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",23584910,24293286,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,71119,8675819,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
(ii)Other securities,804958,23800745,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
(i) Debt,11324859,15893225,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
(ii) Shares,43366598,67069027,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,267638,738590,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1237143,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At June 30, 2021, (in thousands of dollars), National Bank of Canada, As At June 30, 2021, (in thousands of dollars)"
