0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",955209,22679969,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",17841560,18456074,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,28632,11081117,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(ii)Other securities,1114781,23587508,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(i) Debt,17032367,22838633,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(ii) Shares,31059622,55190490,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,3437,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,174286,715219,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,778595,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(v) Lease receivables,0,0,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,3517654,44931031,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,27755490,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,2949066,11195953,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,8241639,14792522,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,18968452,61517173,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,32870,774440,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,14394721,45146997,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(A) Insured,0,34061784,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,6928283,"National Bank of Canada, As At March 31, 2022, (in thousands of dollars), National Bank of Canada, As At March 31, 2022, (in thousands of dollars)"
